Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Brissago, Landschaft","Brissago TI. Landschaft, Vegetation. Motiv mit subtropischen Pflanzen auf der Brissago lnsel. Blick in westlicher Richtung gegen Brissago Dorf. Aufnahme um 1900?.",1890-1936,,,Switzerland,Cantone Ticino,Brissago,46.12013,8.71181,3,True,0
"Locarno, Ortsteilansicht",Locarno TI. Marktleben. Szene auf dem Schweinemarkt; Bauernvolk mit Ferkelkörben.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Locarno, Ortsteilansicht",Locarno TI. Marktleben. Szene auf dem Schweinemarkt; Bauern und Schweinehändler um Ferkelkörbe herumstehend.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Locarno, Ortsteilansicht",Locarno TI. Stadtbild. Marktleben auf der Piazza del Mercato.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Locarno, Ortsteilansicht",Locarno TI. Stadtbild. Marktleben auf dem Marktplatz.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Locarno, Ortsteilansicht",Locarno TI. Stadtbild. Marktleben auf der piazza del Mercato.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Locarno, Teilinnenansicht einer Schmiede",Locarno TI. Handwerk. Schmiedewerkstatt; Teil-lnnenansicht; Blick in den Teil mit dem mechanischen Hammer,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Locarno, Ortsteilansicht",Locarno TI. Marktwesen. Szene mit Schweinen am Rande des Schweinemarktes am Ansatz des Maggiadeltas.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Porträt, Männliche Person, Ascona","Ascona TI. Mensch, Arbeit. Der Totengräber von Ascona an der Stätte seines Wirkens, bei einer kurzen Arbeitspause, auf einem Mauerabsatz sitzend",1890-1936,,,Switzerland,Cantone Ticino,Ascona,46.15451,8.77327,3,True,0
"Locarno, Tiere","Locarno TI. Tierleben. Ein braver Esel, der Transportaufgaben zu lösen hat.",circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Vira, Mulino, Teilansicht","Vira (Gambarogno) TI. Landschaft, Dorfbild. Alte Mühle; zweiteiliges, altes gemauertes Bauwerk, an Steilhang stufenweise angelegt. Aufnahme 1890-1936.",1890-1936,,,Switzerland,,Vira (Gambarogno),46.1438542,8.8418863,2,True,1
"Porträt, Weibliche Person und Kind, Brione sopra Minusio","Brione sopra Minusio TI. Mensch, Arbeit, Behausung. Grossmutter, Mutter und Kind vor dem Hause auf der gemauerten Freitreppe ihres alten Bauernhauses",1890-1936,,,Switzerland,Cantone Ticino,Brione sopra Minusio,46.18417,8.81421,3,True,0
"Porträt, Weibliche Person und Kind, Brione sopra Minusio","Brione sopra Minusio TI. Strassen-, Dorfbild. Junge Bäuerin mit drei Kindern unterwegs auf der Hauptstrasse",1890-1936,,,Switzerland,Cantone Ticino,Brione sopra Minusio,46.18417,8.81421,3,True,0
