Title;Description;Breitengrad;Längengrad;City;01-Datei;Persiode
Italia, Valsolda, San Mamete, Ortsgesamtansicht;Blick auf San Mamete vom Lago di Lugano aus, mittig ein Ruderboot;45.5121798;9.2536963;San Mamete;lcmt-nabi-pctmp_ead_wehr_15366-B_pctmp.jpg;1908
Italia, Valsolda, San Mamete, Ortsteilansicht;Blick auf San Mamete vom Lago di Lugano aus;45.5121798;9.2536963;San Mamete;lcmt-nabi-pctmp_ead_wehr_15367-B_pctmp.jpg;1908
Italia, Valsolda, Castello, Ortsteilansicht;Blick auf die auf einem Felsen gelegene Ortschaft Castello, im Vordergrund Wald;44.9515624;9.2536443;Castello;lcmt-nabi-pctmp_ead_wehr_15368-B_pctmp.jpg;1908
Italia, Valsolda, Castello, Ortsteilansicht;Blick auf die auf einem Felsen gelegene Ortschaft Castello, im Vordergrund eine Steinbrücke;44.9515624;9.2536443;Castello;lcmt-nabi-pctmp_ead_wehr_15369-B_pctmp.jpg;1908
Luzern, Ortsgesamtansicht;Blick auf Luzern gegen die Rigi vom Gütsch aus gesehen;47.0505452;8.3054682;Luzern;lcmt-nabi-pctmp_ead_wehr_1537-B_pctmp.jpg;1906
Italia, Lanzo d'Intelvi, Panorama;Blick von Lanzo d'Intelvi auf den Lago di Lugano;45.9791282;9.0207604;Lanzo d'Intelvi;lcmt-nabi-pctmp_ead_wehr_15379-B_pctmp.jpg;1908
Luzern, Schweizerhofquai, Teilansicht;Luzern, Sicht auf den Schweizerhofquai, Kirche St. Leodegar, Hotel National;47.0505452;8.3054682;Luzern;lcmt-nabi-pctmp_ead_wehr_1538-B_pctmp.jpg;1906
Italia, Lanzo d'Intelvi, Ortsgesamtansicht;Ansicht von Lanzo d'Intelvi, im Vordergrund Fuhrwerke auf einem Weg;45.9791282;9.0207604;Lanzo d'Intelvi;lcmt-nabi-pctmp_ead_wehr_15381-B_pctmp.jpg;1908
Arogno, Ortsgesamtansicht;Ortsgesamtansicht und Tal im Hintergrund;45.9596383;8.9865107;Arogno;lcmt-nabi-pctmp_ead_wehr_15382-B_pctmp.jpg;1908
Valganna, Ortsteilansicht;Ansicht von Valganna;45.9022199;8.8254492;Valganna;lcmt-nabi-pctmp_ead_wehr_15388-B_pctmp.jpg;circa 1908
Valganna, Ortsteilansicht;Ansicht von Valganna;45.9022199;8.8254492;Valganna;lcmt-nabi-pctmp_ead_wehr_15389-B_pctmp.jpg;circa 1908
