Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Region,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Italia, Salò, Ortsteilansicht",Ansicht des eines Stadttors in Salò,45.6056775,10.520069,Nein,Salò,lcmt-nabi-pctmp_ead_wehr_16084-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024524,"Italia, Salò, Ortsteilansicht",Ansicht des eines Stadttors in Salò,1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0,0.13,https://www.openstreetmap.org/?mlat=45.60685&mlon=10.5205&zoom=14
"Italia, Sirmione, Ortsteilansicht",Blick von einer Anhöhe über die Dächer von Sirmione und auf den Lago di Garda,45.4688494,10.6078237,Nein,Sirmione,lcmt-nabi-pctmp_ead_wehr_16085-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024466,"Italia, Sirmione, Ortsteilansicht",Blick von einer Anhöhe über die Dächer von Sirmione und auf den Lago di Garda,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0,3.19,https://www.openstreetmap.org/?mlat=45.49744&mlon=10.60507&zoom=14
"Italia, Sirmione, Ortsteilansicht",Blick durch einen Torbogen auf Häsuder in Sirmione,45.4688494,10.6078237,Nein,Sirmione,lcmt-nabi-pctmp_ead_wehr_16086-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024414,"Italia, Sirmione, Ortsteilansicht",Blick durch einen Torbogen auf Häsuder in Sirmione,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0,3.19,https://www.openstreetmap.org/?mlat=45.49744&mlon=10.60507&zoom=14
"Italia, San Martino della Battaglia, Torre monumentale, Teilaussenansicht","Weg mit Zypressen, im Hintergrund der Torre monumentale di San Martino della Battaglia",45.4386608,10.5979528,Nein,San Martino della Battaglia,lcmt-nabi-pctmp_ead_wehr_16087-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024372,"Italia, San Martino della Battaglia, Torre","Weg mit Zypressen, im Hintergrund der Torre monumentale di San Martino della Battaglia",1906,,,Italy,Lombardia,San Martino della Battaglia,45.43832,10.60053,3,True,0,0.2,https://www.openstreetmap.org/?mlat=45.43832&mlon=10.60053&zoom=14
"Italia, Solferino, Knochenkapelle Ossario di Solferino, Teilinnenansicht",Blick auf den Altar und die Gebeine in der Knochenkapelle Ossario di Solferino,45.368581,10.566679,Nein,Solferino,lcmt-nabi-pctmp_ead_wehr_16088-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024336,"Italia, Solferino, Ossario di Solferino",Blick auf den Altar und die Gebeine in der Knochenkapelle Ossario di Solferino,1906,,,Italy,Lombardia,Solferino,45.3740879,10.5689763,4,False,1,0.64,https://www.openstreetmap.org/?mlat=45.3740879&mlon=10.5689763&zoom=14
"Italia, Nago-Torbole, Torbole, Friedhof, Teilansicht",Blick auf den Friedhof in Torbole,45.512581,10.115467,Nein,Torbole,lcmt-nabi-pctmp_ead_wehr_16090-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024300,"Italia, Torbole, Friedhof, Teilansicht",Blick auf den Friedhof in Torbole,1906,,,Italy,Trentino-Alto Adige,Torbole,45.86951,10.87561,3,True,0,71.14,https://www.openstreetmap.org/?mlat=45.86951&mlon=10.87561&zoom=14
"Italia, Nago-Torbole, Torbole, Landschaft",Blick auf einen Olivenhein gegen den Gardasee,45.512581,10.115467,Nein,Torbole,lcmt-nabi-pctmp_ead_wehr_16092-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024272,"Italia, Torbole, Landschaft",Blick auf einen Olivenhein gegen den Gardasee,1906,,,Italy,Trentino-Alto Adige,Torbole,45.86951,10.87561,3,True,0,71.14,https://www.openstreetmap.org/?mlat=45.86951&mlon=10.87561&zoom=14
"Italia, Malcesine, Castello Scaligero, Gesamtaussenansicht",Castello Scaligero in Malcesine vom Lago di Garda aus gesehen,45.7643442,10.8100598,Nein,Malcesine,lcmt-nabi-pctmp_ead_wehr_16093-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024244,"Italia, Malcesine, Castello Scaligero",Castello Scaligero in Malcesine vom Lago di Garda aus gesehen,1906,,,Italy,Veneto,Malcesine,45.7663,10.80879,5,False,0,0.24,https://www.openstreetmap.org/?mlat=45.7663&mlon=10.80879&zoom=14
"Italia, Sirmione, Landschaft","Blick auf die Uferzone des Gardasees bei Sirmione, im Hintergrund sind Burgmauern zu sehen",45.4688494,10.6078237,Nein,Sirmione,lcmt-nabi-pctmp_ead_wehr_16094-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024175,"Italia, Sirmione, Landschaft","Blick auf die Uferzone des Gardasees bei Sirmione, im Hintergrund sind Burgmauern zu sehen",1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0,3.19,https://www.openstreetmap.org/?mlat=45.49744&mlon=10.60507&zoom=14
"Italia, Sirmione, Castello scaligero, Teilaussenansicht",Blick auf das Castello scaligero in Sirmione von einem Weg aus,45.4688494,10.6078237,Nein,Sirmione,lcmt-nabi-pctmp_ead_wehr_16097-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024080,"Italia, Sirmione, Castello scaligero",Blick auf das Castello scaligero in Sirmione von einem Weg aus,1906,,,Italy,Lombardia,Sirmione,45.49218,10.60821,5,False,0,2.59,https://www.openstreetmap.org/?mlat=45.49218&mlon=10.60821&zoom=14
"Italia, Sirmione, Ortsteilansicht",Platz nahe der Chiesa di Sant'Anna della Rocca in Sirmione,45.4688494,10.6078237,Nein,Sirmione,lcmt-nabi-pctmp_ead_wehr_16099-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,unknown photographer,https://commons.wikimedia.org/entity/M145024050,"Italia, Sirmione, Ortsteilansicht",Platz nahe der Chiesa di Sant'Anna della Rocca in Sirmione,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0,3.19,https://www.openstreetmap.org/?mlat=45.49744&mlon=10.60507&zoom=14
"Italia, Lago di Garda, Landschaft","Lago di Garda, im Hintergrund Garda",45.6624314,10.6861569,Nein,Lago di Garda,lcmt-nabi-pctmp_ead_wehr_16100-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145024014,"Italia, Lago di Garda, Landschaft","Lago di Garda, im Hintergrund Garda",1906,unknown photographer,,Italy,Lombardia,Lago di Garda,45.6624314,10.6861569,2,True,1,0.0,https://www.openstreetmap.org/?mlat=45.6624314&mlon=10.6861569&zoom=14
"Italia, Maderno, Chiesa di Sant'Andrea, Gesamtaussenansicht",Ansicht der Chiesa di Sant'Andrea in Maderno,46.0898035,11.1408947,Nein,Maderno,lcmt-nabi-pctmp_ead_wehr_16102-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023979,"Italia, Maderno, Chiesa di Sant'Andrea",Ansicht der Chiesa di Sant'Andrea in Maderno,1906,,,Italy,Lombardia,Maderno,45.6358911,10.5996008,4,False,1,65.61,https://www.openstreetmap.org/?mlat=45.6358911&mlon=10.5996008&zoom=14
"Italia, Desenzano del Garda, Ortsteilansicht",Marktplatz in Desenzano del Garda,45.4694851,10.5389467,Nein,Desenzano del Garda,lcmt-nabi-pctmp_ead_wehr_16103-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023947,"Italia, Desenzano del Garda, Ortsteilansicht",Marktplatz in Desenzano del Garda,1906,,,Italy,Lombardia,Desenzano del Garda,45.47127,10.53559,3,True,0,0.33,https://www.openstreetmap.org/?mlat=45.47127&mlon=10.53559&zoom=14
"Italia, Lazise, Hafen, Teilansicht",Blick auf den Hafen von Lazise,45.5052005,10.7330245,Nein,Lazise,lcmt-nabi-pctmp_ead_wehr_16104-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023918,"Italia, Lazise, Hafen, Teilansicht",Blick auf den Hafen von Lazise,1906,,,Italy,Veneto,Lazise,45.50499,10.73923,3,True,0,0.48,https://www.openstreetmap.org/?mlat=45.50499&mlon=10.73923&zoom=14
"Italia, Malcesine, Ortsteilansicht",Blick von einer Anhöhe aus auf Malcesine und den Lago di Garda,45.7643442,10.8100598,Nein,Malcesine,lcmt-nabi-pctmp_ead_wehr_16105-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023891,"Italia, Malcesine, Ortsteilansicht",Blick von einer Anhöhe aus auf Malcesine und den Lago di Garda,1906,,,Italy,Veneto,Malcesine,45.7614,10.80863,3,True,0,0.35,https://www.openstreetmap.org/?mlat=45.7614&mlon=10.80863&zoom=14
"Italia, Verona, Basilica di Santa Anastasia, Teilaussenansicht","Portal der Basilica di Santa Anastasia in Verona, im Vordergrund das Monumento a Paolo Veronese",45.4424977,10.9857377,Nein,Verona,lcmt-nabi-pctmp_ead_wehr_16106-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023822,"Italia, Verona, Basilica di Santa Anastasia","Portal der Basilica di Santa Anastasia in Verona, im Vordergrund das Monumento a Paolo Veronese",1906,,,Italy,Veneto,Verona,45.44534,11.00031,5,False,0,1.18,https://www.openstreetmap.org/?mlat=45.44534&mlon=11.00031&zoom=14
"Italia, Verona, Piazza dei Signori, Ortsteilansicht",Ansicht der Piauua dei Signori in Verona,45.4424977,10.9857377,Nein,Verona,lcmt-nabi-pctmp_ead_wehr_16107-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023790,"Italia, Verona, Piazza dei Signori",Ansicht der Piauua dei Signori in Verona,1906,,,Italy,Veneto,Verona,45.44348,10.99808,5,False,0,0.97,https://www.openstreetmap.org/?mlat=45.44348&mlon=10.99808&zoom=14
"Italia, Lazise, Castello Scaligero, Teilaussenansicht",Blick auf die mittelalterliche Burg Castello Scaligero,45.5052005,10.7330245,Nein,Lazise,lcmt-nabi-pctmp_ead_wehr_16108-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023725,"Italia, Lazise, Castello Scaligero",Blick auf die mittelalterliche Burg Castello Scaligero,1906,,,Italy,Veneto,Lazise,45.50499,10.73923,3,True,0,0.48,https://www.openstreetmap.org/?mlat=45.50499&mlon=10.73923&zoom=14
"Italia, Gardone Riviera, Chiesa di San Michele, Teilaussenansicht","Blick auf die Chiesa di San Michele, im Vordergrund ein Hund auf einer Wiese sitzend",45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16109-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023624,"Italia, Gardone Riviera, Chiesa di San Michele","Blick auf die Chiesa di San Michele, im Vordergrund ein Hund auf einer Wiese sitzend",1906,,,Italy,Lombardia,Gardone Riviera,45.6307855,10.5497088,4,False,1,1.52,https://www.openstreetmap.org/?mlat=45.6307855&mlon=10.5497088&zoom=14
"Italia, Gargnano, Ortsgesamtansicht",Ansicht von Gargnano am Lago di Garda,45.688138,10.6635006,Nein,Gargnano,lcmt-nabi-pctmp_ead_wehr_16110-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023590,"Italia, Gargnano, Ortsgesamtansicht",Ansicht von Gargnano am Lago di Garda,1906,,,Italy,Lombardia,Gargnano,45.68586,10.65869,3,True,0,0.45,https://www.openstreetmap.org/?mlat=45.68586&mlon=10.65869&zoom=14
"Italia, Nago-Torbole, Torbole, Ortsteilansicht",Ansicht einiger Häuser von Torbole,45.512581,10.115467,Nein,Torbole,lcmt-nabi-pctmp_ead_wehr_16111-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023558,"Italia, Nago-Torbole, Torbole, Ortsteilansicht",Ansicht einiger Häuser von Torbole,1906,,,Italy,Trentino-Alto Adige,Torbole,45.86951,10.87561,3,True,0,71.14,https://www.openstreetmap.org/?mlat=45.86951&mlon=10.87561&zoom=14
"Italia, Desenzano del Garda, Leuchtturm, Gesamtaussenansicht",Blick auf den Leuchtturm gegen den Gardasee,45.4694851,10.5389467,Nein,Desenzano del Garda,lcmt-nabi-pctmp_ead_wehr_16112-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023521,"Italia, Desenzano del Garda, Leuchtturm",Blick auf den Leuchtturm gegen den Gardasee,1906,,,Italy,Lombardia,Desenzano del Garda,45.47127,10.53559,3,True,0,0.33,https://www.openstreetmap.org/?mlat=45.47127&mlon=10.53559&zoom=14
"Italia, Gardone Riviera, Ortsgesamtansicht",Blick auf Gardone Riviera von einer Anhöhe aus,45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16113-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023477,"Italia, Gardone Riviera, Ortsgesamtansicht",Blick auf Gardone Riviera von einer Anhöhe aus,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0,0.83,https://www.openstreetmap.org/?mlat=45.62396&mlon=10.56682&zoom=14
"Italia, Gardone Riviera, Ortsteilansicht","Blick auf Gardone Riviera und den Gardasee von einer Anhöhe aus, am linken Bildrand sitzt ein Mann auf einer Bank, dahinter steht ein Baum",45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16114-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023417,"Italia, Gardone Riviera, Ortsteilansicht","Blick auf Gardone Riviera und den Gardasee von einer Anhöhe aus, am linken Bildrand sitzt ein Mann auf einer Bank, dahinter steht ein Baum",1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0,0.83,https://www.openstreetmap.org/?mlat=45.62396&mlon=10.56682&zoom=14
"Italia, Nago-Torbole, Torbole, Ortsteilansicht",Ansicht der Uferpromenade von Torbole,45.512581,10.115467,Nein,Torbole,lcmt-nabi-pctmp_ead_wehr_16115-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023383,"Italia, Nago-Torbole, Torbole, Uferpromenade",Ansicht der Uferpromenade von Torbole,1906,,,Italy,Trentino-Alto Adige,Torbole,45.86951,10.87561,3,True,0,71.14,https://www.openstreetmap.org/?mlat=45.86951&mlon=10.87561&zoom=14
"Italia, Gardone Riviera, Ortsteilansicht",Blick auf Gardone Riviera vom Ufer des Lago di Garda aus,45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16116-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023329,"Italia, Gardone Riviera, Ortsteilansicht",Blick auf Gardone Riviera vom Ufer des Lago di Garda aus,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0,0.83,https://www.openstreetmap.org/?mlat=45.62396&mlon=10.56682&zoom=14
"Italia, Gardone Riviera, Ortsteilansicht",Blick auf einen Teil von Gardone Riviera und des Lago di Garda von einer Anhöhe aus; im Vordergrund Baumwipfel,45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16117-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023289,"Italia, Gardone Riviera, Ortsteilansicht",Blick auf einen Teil von Gardone Riviera und des Lago di Garda von einer Anhöhe aus; im Vordergrund Baumwipfel,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0,0.83,https://www.openstreetmap.org/?mlat=45.62396&mlon=10.56682&zoom=14
"Italia, Salò, Ortsteilansicht",Strasse in Salò,45.6056775,10.520069,Nein,Salò,lcmt-nabi-pctmp_ead_wehr_16119-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023246,"Italia, Salò, Ortsteilansicht",Strasse in Salò,1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0,0.13,https://www.openstreetmap.org/?mlat=45.60685&mlon=10.5205&zoom=14
"Italia, Garda, Punta San Vigilio, Landschaft","Blick entlang einer Strasse, die von Zypressen gesäumt ist",45.5727085,10.6719114,Nein,Punta San Vigilio,lcmt-nabi-pctmp_ead_wehr_16120-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023215,"Italia, Garda, Punta San Vigilio, Landschaft","Blick entlang einer Strasse, die von Zypressen gesäumt ist",1906,,,Italy,Veneto,Punta San Vigilio,45.5727085,10.6719114,4,False,1,0.0,https://www.openstreetmap.org/?mlat=45.5727085&mlon=10.6719114&zoom=14
"Italia, Sirmione, Ortsteilansicht",Blick auf Sirmione vom Lago di Garda aus,45.4688494,10.6078237,Nein,Sirmione,lcmt-nabi-pctmp_ead_wehr_16121-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023181,"Italia, Sirmione, Ortsteilansicht",Blick auf Sirmione vom Lago di Garda aus,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0,3.19,https://www.openstreetmap.org/?mlat=45.49744&mlon=10.60507&zoom=14
"Italia, Desenzano del Garda, Ortsteilansicht","Blick auf Desenzano del Garda, im Vordergrund ein Dampfschiff auf dem Lago di Garda",45.4694851,10.5389467,Nein,Desenzano del Garda,lcmt-nabi-pctmp_ead_wehr_16122-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023149,"Italia, Desenzano del Garda, Ortsteilansicht","Blick auf Desenzano del Garda, im Vordergrund ein Dampfschiff auf dem Lago di Garda",1906,,,Italy,Lombardia,Desenzano del Garda,45.47127,10.53559,3,True,0,0.33,https://www.openstreetmap.org/?mlat=45.47127&mlon=10.53559&zoom=14
"Italia, Lago di Garda, Teilansicht","Blick auf den Gardasee, am Ufer befindet sich eine Gruppe von Frauen, einige von ihnen sind am Waschen, im Vordergrund ist ein unbemanntes Ruderboot zu sehen",45.6624314,10.6861569,Nein,Lago di Garda,lcmt-nabi-pctmp_ead_wehr_16123-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023097,"Italia, Lago di Garda, Teilansicht","Blick auf den Gardasee, am Ufer befindet sich eine Gruppe von Frauen, einige von ihnen sind am Waschen, im Vordergrund ist ein unbemanntes Ruderboot zu sehen",1906,,,Italy,Lombardia,Lago di Garda,45.6667,10.6833,5,False,0,0.52,https://www.openstreetmap.org/?mlat=45.6667&mlon=10.6833&zoom=14
"Italia, Gardone Riviera, Grand Hotel, Gesamtaussenansicht",Ansicht des Grand Hotel in Gardone vom Lago di Garda aus,45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16124-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023073,"Italia, Gardone Riviera, Grand Hotel",Ansicht des Grand Hotel in Gardone vom Lago di Garda aus,1906,,,Italy,Lombardia,Gardone Riviera,45.6184809,10.5613697,4,False,1,0.18,https://www.openstreetmap.org/?mlat=45.6184809&mlon=10.5613697&zoom=14
"Italia, Arco, Ortsteilansicht",Blick vom Park auf die Ruine des Castello di Arco,45.9181327,10.8860953,Nein,Arco,lcmt-nabi-pctmp_ead_wehr_16125-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023053,"Italia, Arco, Ortsteilansicht",Blick vom Park auf die Ruine des Castello di Arco,1906,,,Italy,Trentino-Alto Adige,Arco,45.9223221,10.8883004,4,False,1,0.5,https://www.openstreetmap.org/?mlat=45.9223221&mlon=10.8883004&zoom=14
"Italia, Gardone Riviera, Morgnaga, Ortsteilansicht",Ansicht von Morgnaga,45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16126-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145023032,"Italia, Gardone Riviera, Morgnaga, Ortsteilansicht",Ansicht von Morgnaga,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0,0.83,https://www.openstreetmap.org/?mlat=45.62396&mlon=10.56682&zoom=14
"Italia, Tremosine sul Garda, Ortsteilansicht",Blick über einige Dächer von Tremosine,45.7710786,10.7607733,Nein,Tremosine,lcmt-nabi-pctmp_ead_wehr_16127-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022996,"Italia, Tremosine sul Garda, Ortsteilansicht",Blick über einige Dächer von Tremosine,1906,,,Italy,Lombardia,Tremosine sul Garda,45.77149,10.75778,3,True,0,0.24,https://www.openstreetmap.org/?mlat=45.77149&mlon=10.75778&zoom=14
"Italia, Gadone Riviera, Ortsteilansicht",Blick auf einen Teil von Gardone von Lago di Garda aus,45.6187853,10.5591005,Nein,Gardone Riviera,lcmt-nabi-pctmp_ead_wehr_16128-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022980,"Italia, Gardone Riviera, Ortsteilansicht",Blick auf einen Teil von Gardone von Lago di Garda aus,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0,0.83,https://www.openstreetmap.org/?mlat=45.62396&mlon=10.56682&zoom=14
"Italia, Garda, Punta San Vigilio, Ortsteilansicht",Punta San Vigilio am Lago di Garda,45.5727085,10.6719114,Nein,Punta San Vigilio,lcmt-nabi-pctmp_ead_wehr_16129-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022949,"Italia, Garda, Punta San Vigilio, Ortsteilansicht",Punta San Vigilio am Lago di Garda,1906,,,Italy,Veneto,Punta San Vigilio,45.5727085,10.6719114,4,False,1,0.0,https://www.openstreetmap.org/?mlat=45.5727085&mlon=10.6719114&zoom=14
"Muotathal, Pfarrkirche, Gesamtaussenansicht","Muotathal, Ortsteilansicht mit Kirche",46.974668,8.7658029,Nein,Muotathal,lcmt-nabi-pctmp_ead_wehr_1613-B_pctmp.jpg,Schwyz,circa 1906,,Schweizerische Nationalbibliothek,unknown photographer,https://commons.wikimedia.org/entity/M144067407,"Muotathal, Pfarrkirche, Gesamtaussenansicht","Muotathal, Ortsteilansicht mit Kirche",1906,unknown photographer,,Switzerland,Kanton Schwyz,Muotathal,46.977379,8.760064,4,False,1,0.53,https://www.openstreetmap.org/?mlat=46.977379&mlon=8.760064&zoom=14
"Italia, Garda, Punta San Vigilio, Park, Teilansicht",Ansicht des Parks in Punta San Vigilio,45.5727085,10.6719114,Nein,Punta San Vigilio,lcmt-nabi-pctmp_ead_wehr_16131-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022816,"Italia, Garda, Punta San Vigilio, Park, Teilansicht",Ansicht des Parks in Punta San Vigilio,1906,,,Italy,Veneto,Punta San Vigilio,45.5727085,10.6719114,4,False,1,0.0,https://www.openstreetmap.org/?mlat=45.5727085&mlon=10.6719114&zoom=14
"Italia, Riva del Garda, Cascate del Ponale, Landschaft",Ansicht des Cascata del Ponale bei Riva del Garda,45.8847708,10.8396942,Nein,Riva del Garda,lcmt-nabi-pctmp_ead_wehr_16132-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022758,"Italia, Riva del Garda, Cascate del Ponale",Ansicht des Cascata del Ponale bei Riva del Garda,1906,,,Italy,Trentino-Alto Adige,Riva del Garda,45.88577,10.84117,3,True,0,0.16,https://www.openstreetmap.org/?mlat=45.88577&mlon=10.84117&zoom=14
"Italia, Gargnano, Ortsteilansicht","Blick auf einen Teil von Gargnano, im Vordergrund das Ufer des Lago di Garda und ein Boot",45.688138,10.6635006,Nein,Gargnano,lcmt-nabi-pctmp_ead_wehr_16133-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022741,"Italia, Gargnano, Ortsteilansicht","Blick auf einen Teil von Gargnano, im Vordergrund das Ufer des Lago di Garda und ein Boot",1906,,,Italy,Lombardia,Gargnano,45.68586,10.65869,3,True,0,0.45,https://www.openstreetmap.org/?mlat=45.68586&mlon=10.65869&zoom=14
"Italia, Maderno, Ortsteilansicht",Piazza San Marco in Maderno,46.0898035,11.1408947,Nein,Maderno,lcmt-nabi-pctmp_ead_wehr_16134-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022704,"Italia, Maderno, Piazza San Marco",Piazza San Marco in Maderno,1906,,,Italy,Lombardia,Maderno,45.6351736,10.5996464,4,False,1,65.67,https://www.openstreetmap.org/?mlat=45.6351736&mlon=10.5996464&zoom=14
"Italia, Arco, Ortsteilansicht",Blick auf die Ruinen der mittelalterlichen Burg Arco und einige Häuser,45.9181327,10.8860953,Nein,Arco,lcmt-nabi-pctmp_ead_wehr_16136-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M145022673,"Italia, Arco, Castello di Arco, Ortsteilansicht",Blick auf die Ruinen der mittelalterlichen Burg Arco und einige Häuser,1906,,,Italy,Trentino-Alto Adige,Arco,45.9223221,10.8883004,4,False,1,0.5,https://www.openstreetmap.org/?mlat=45.9223221&mlon=10.8883004&zoom=14
"Italia, Arco, Ortsgesamtansicht",Blick auf Arco,45.9181327,10.8860953,Nein,Arco,lcmt-nabi-pctmp_ead_wehr_16137-B_pctmp.jpg,,1906,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M144792241,"Italia, Arco, Ortsgesamtansicht",Blick auf Arco,1906,,,Italy,Trentino-Alto Adige,Arco,45.91772,10.88672,3,True,0,0.07,https://www.openstreetmap.org/?mlat=45.91772&mlon=10.88672&zoom=14
"Italia, Riva del Garda, Hotel Lido Palace, Gesamtaussenansicht",Hotel Lido Palacein Riva del Garda,45.8847708,10.8396942,Nein,Riva del Garda,lcmt-nabi-pctmp_ead_wehr_16138-B_pctmp.jpg,,1908,,Schweizerische Nationalbibliothek,Link,https://commons.wikimedia.org/entity/M144792200,"Italia, Riva del Garda, Hotel Lido Palace",Hotel Lido Palacein Riva del Garda,1908,,,Italy,Trentino-Alto Adige,Riva del Garda,45.883222,10.8465322,4,False,1,0.56,https://www.openstreetmap.org/?mlat=45.883222&mlon=10.8465322&zoom=14
