City;Breitengrad;Längengrad;Name;Beschreibung;firstBreitengrad;firstLängengrad;Exakte Koordinaten;Adresse;Datei;Periode;Quelle;Urheber:in;Referenz;;;
Bignasco;46.33845;8.60816;Porträt, Weibliche Person, Bignasco;Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre;46.3397342;8.6085558;Nein;Bignasco;lcmt-nabi-pctmp_ead_zing_12210_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162741108;;;
Cavergno;46.34531;8.60713;Porträt, Kind, Cavergno;Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat;46.3451674;8.6072509;Nein;Cavergno;lcmt-nabi-pctmp_ead_zing_12213_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162741186;;;
Cavergno;46.34531;8.60713;Porträt, Weibliche Person, Cavergno;Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend;46.3451674;8.6072509;Nein;Cavergno;lcmt-nabi-pctmp_ead_zing_12215_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162741212;;;
Cavergno;46.34531;8.60713;Porträt, Kind, Cavergno;Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch;46.3451674;8.6072509;Nein;Cavergno;lcmt-nabi-pctmp_ead_zing_12216_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162741229;;;
Cavergno;46.35638;8.58472;Porträt, Kind, Cavergno;Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada;46.3451674;8.6072509;Nein;Cavergno;lcmt-nabi-pctmp_ead_zing_12232_pctmp.jpg;1931;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162741540;;;
Brione (Verzasca);46.29525;8.79173;Porträt, Kind, Brione (Verzasca);Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend;46.2963757;8.7908609;Nein;Brione (Verzasca);lcmt-nabi-pctmp_ead_zing_12283_pctmp.jpg;1934;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162742629;;;
Frasco;46.34398;8.7984;Porträt, Kind, Frasco;Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar;46.3377617;8.804355;Nein;Frasco;lcmt-nabi-pctmp_ead_zing_12295_pctmp.jpg;1934;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162747750;;;
Frasco;46.34398;8.7984;Porträt, Kind, Frasco;Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend;46.3377617;8.804355;Nein;Frasco;lcmt-nabi-pctmp_ead_zing_12318_pctmp.jpg;1934;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162748621;;;
Frasco;46.34398;8.7984;Porträt, Weibliche Person, Frasco;"Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.";46.3377617;8.804355;Nein;Frasco;lcmt-nabi-pctmp_ead_zing_12337_pctmp.jpg;1934;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162748722;;;
Frasco;46.34398;8.7984;Frasco, Ortsteilansicht;Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen beschäftigt in einem Winkel zwischen Hauswand und Treppengemäuer;;;Nein;;lcmt-nabi-pctmp_ead_zing_12365_pctmp.jpg;1934;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162749395;;;
Frasco;46.34398;8.7984;Frasco, Ortsteilansicht;Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen am Werk;;;Nein;;lcmt-nabi-pctmp_ead_zing_12366_pctmp.jpg;1934;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162749423;;;
;;;Schweiz, Gesamtaussenansicht einer Kapelle [Lokalisierung unsicher];"Schweiz. Die Kapelle zwischen einem Stall und einem Speicher; davor Weg und Zäune, Wiesenfläche. Aufnahme 1921.";;;Nein;;lcmt-nabi-pctmp_ead_zing_12415_pctmp.jpg;1921;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162751051;;;
;;;Porträt, Männliche Person, Schweiz;Schweiz. Menschliches. Alter Herr (Professor?) in grauem Jaquetkleid, vor Hausecke an Treppe stehend;;;Nein;;lcmt-nabi-pctmp_ead_zing_12428_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162751300;;;
Evolène;46.11422;7.49407;Porträt, Weibliche Person, Evolène;Evolène VS. Trachtenwesen. Junge Frau in der Evolènertracht, mit Strickzeug auf Haustreppe sitzend;46.1129048;7.4958022;Nein;Evolène;lcmt-nabi-pctmp_ead_zing_12473_pctmp.jpg;1922;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162755678;;;
Evolène;46.11422;7.49407;Porträt, Kind, Evolène;"Evolène VS. Menschliches. Zwölfjähriger Bauern- und Hirtenbub; Brustbild von vorn";46.1129048;7.4958022;Nein;Evolène;lcmt-nabi-pctmp_ead_zing_12480_pctmp.jpg;1922;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162756094;;;
;;;Schweiz, Gesamtaussenansicht eines Hauses [Lokalisierung unsicher];Schweiz. Landschaft, Einzelbau. Stattliches Bauernhaus, von Wiesengelände umgeben;;;Nein;;lcmt-nabi-pctmp_ead_zing_12780_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163011117;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];Schweiz. Landschaft. Weiher und Wiesenstreifen am Ufer und Baumreihe;;;Nein;;lcmt-nabi-pctmp_ead_zing_12789_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163011717;;;
Rüti;46.93779;9.01695;Rüti, Zürcher Oberland, Ortsteilansicht mit 4 Bürgerhäusern an der Sonnenbergstrasse (links);"Rüti, Blick nach Südosten auf die Glarner (Vor-)Alpen. Links über der Mitte: Glarner und Schwyzer Voralpenkette zwischen Planggenstock und Stockberg; links hinter dem Wald: Mürtschenstock; rechts der Mitte: Wägital";;;Nein;;lcmt-nabi-pctmp_ead_zing_12954_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163018355;;;
;;;Porträt, Männliche Person, Schweiz;Schweiz. Sonntagsfreuden. Drei Herren in einem kleinen Boot startbereit;;;Nein;;lcmt-nabi-pctmp_ead_zing_13106_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163023584;;;
Vaduz;47.14151;9.52154;Fürstentum Liechtenstein, Vaduz, Ortsteilansicht;Vaduz FL. Landschaft, Siedlung. Das alte Dorf, Teilansicht mit Umgebung von Südosten (von der Strasse nach dem Schlosse aus);47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13189_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027338;;;
Vaduz;47.14151;9.52154;Fürstentum Liechtenstein, Vaduz, Ortsteilansicht;Vaduz FL. Dorfbild. Gebäudekomplex Vaistlihof im Alten Dorf, von Rebbergen umgeben, Ansicht von Südosten;47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13190_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027368;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Landschaft;"Vaduz FL. Landschaft. Die Strasse vom Alten Dorf nach dem Fürstlichen Schlosse an einem Berghang entlang führend; Blick gegen das Schloss, von dem man infolge Nebels nur die Umrisse sieht";47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13191_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027391;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Ortsteilansicht;"Vaduz FL. Landschaft, Siedlung. Kulturgelände mit Wies- und Ackerboden, Obstbäumen; Häuser des Alten Dorfes von Vaduz; links hinten das Schloss; Blick von Norden gegen Süden";47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13192_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027419;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Schloss Vaduz, Teilaussenansicht;Vaduz FL. Das Schloss. Teil-Aussenansicht von Süden: der Saalbau mit An- und Vorbauten;47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13193_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027449;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Schloss Vaduz, Teilaussenansicht;Vaduz FL. Das Schloss. Gesamt-Aussenansicht von Süden, mit Vorgelände;47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13194_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027472;;;
