Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Italia, Lago di Garda, Landschaft",Böschung oberhalb des Lago di Garda,1906,,,Italy,,Lago di Garda,45.6624314,10.6861569,2,True,1
"Italia, Salò, Ortsteilansicht","Ufer des Lago di Gardo vor Salò, im Vordergrund drei Frauen",1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0
"Italia, Garda, Punta San Vigilio, Landschaft","Blick auf den Lago di Garda, im Vordergrund drei Olivenbäume, dahinter Zypressen",1906,,,Italy,,Punta San Vigilio,45.5727085,10.6719114,4,False,1
"Italia, Isola di Garda, Villa Borghese, Gesamtaussenansicht",Villa Borghese auf der Isola di Garda,1906,,,Italy,,Isola di Garda,41.91349,12.49317,5,False,0
"Vierwaldstättersee, Landschaft","Blick auf den Vierwaldstättersee mit einem Ruderboot und Ruderer darauf, im Hintergrund Urirotstock (Urirothstock)",1906,,,Switzerland,,Vierwaldstättersee,,,0,False,0
"Italia, San Martino della Battaglia, Kriegerdenkmal, Gesamta","Blick auf das Kriegerdenkmal, daneben ein Zypressenhain",1906,,,Italy,Lombardia,San Martino della Battaglia,45.43832,10.60053,3,True,0
"Italia, Riva del Garda, Ortsteilansicht","Blick auf Riva del Garda, im Vordergrund ein Denkmal",1906,,,Italy,Trentino-Alto Adige,Riva del Garda,45.88577,10.84117,3,True,0
"Italia, Sirmione, Grotte di Catullo, Teilaussenansicht","Blick auf die Ruinen der römischen Villa Grotte di Catullo, auch Grotten des Catull genannt",1906,,,Italy,Lombardia,Sirmione,45.5009128,10.6067079,4,False,1
"Italia, Sirmione, Grotte di Catullo, Teilaussenansicht","Blick auf die Ruinen der römischen Villa Grotte di Catullo, auch Grotten des Catull genannt, im Hintergrund ist der Gardasee zu sehen",1906,,,Italy,Lombardia,Sirmione,45.5009128,10.6067079,4,False,1
"Italia, Isola di Garda, Gesamtansicht",Blick auf die Isola di Garda,1906,,,Italy,,Isola di Garda,45.5928053,10.5906933,2,True,1
"Italia, Desenzano del Garda, Ortsteilansicht",Segelschiffe im Hafen von Desenzano del Garda,1906,,,Italy,Lombardia,Desenzano del Garda,45.47127,10.53559,3,True,0
"Italia, Riva del Garda, Ortsteilansicht",Hafen von Riva del Garda,1906,,,Italy,Trentino-Alto Adige,Riva del Garda,45.88577,10.84117,3,True,0
"Brunnen, Ortsgesamtansicht",Blick auf Brunnen; im Vordergrund ist der Vierwaldstättersee mit dem Schiff Unterwalden zu sehen; im Hintergrund sind die Mythen zu sehen,1906,,,Switzerland,Kanton Schwyz,Brunnen,46.9936,8.60538,3,True,0
"Italia, Isola di Garda, Teilansicht",Blick auf die Isola di Garda vom Ufer des Gardasees aus,1906,,,Italy,,Isola di Garda,45.5928053,10.5906933,2,True,1
"Italia, Riva del Garda, Ortsgesamtansicht","Blick auf Riva del Garda, im Vordergrund der Lago di Garda",1906,,,Italy,Trentino-Alto Adige,Riva del Garda,45.88577,10.84117,3,True,0
"Italia, Limone sul Garda, Ortsteilansicht","Blick vom Lago di Garda auf Limone sul Garda, im Vordergrund drei Boote",1906,,,Italy,Lombardia,Limone sul Garda,45.8145,10.79278,3,True,0
"Italia, Lago di Garda, Ponalestrasse, Teilansicht","Blick auf die Serpentinen der Ponalestrasse, im Hintergrund der Lago di Garda",1906,,,Italy,,Lago di Garda,45.8774259,10.8386052,4,False,1
"Italia, Tremosine sul Garda, Ortsteilansicht",Blick auf Tremosine und den Lago di Garda,1906,,,Italy,Lombardia,Tremosine sul Garda,45.77149,10.75778,3,True,0
"Italia, Verona, Piazza delle Erbe, Ortsteilansicht",Marktstände auf der Piazza delle Erbe in Verona,1906,,,Italy,Veneto,Verona,45.44299,10.99729,5,False,0
"Italia, Verona, Ponte Petra, Teilansicht",Ponte Pietra in Verona,1906,,,Italy,Veneto,Verona,45.44777,10.99996,5,False,0
"Italia, Verona, Giardino Giusti, Ortsteilansicht",Ansicht eines Teils des Giardino Giusti in Verona,1906,,,Italy,Veneto,Verona,45.44369,11.00732,5,False,0
"Brunnen, Hotel Waldstätterhof, Gesamtaussenansicht",Blick auf das Hotel Waldstätterhof am Ufer des Vierwaldstättersees,1906,,,Switzerland,Kanton Schwyz,Brunnen,47.1051,8.34738,5,False,0
"Italia, Sirmione, Landschaft","Blick auf die Halbinsel bei Sirmione vom Ufer des Gardasees aus gesehen, im Vordergrund sitzt ein Mann in einem Boot",1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0
"Italia, Verona, Cattedrale di Santa Maria Assunta, Gesamtaus",Ansicht der Cattedrale di Santa Maria Assunta in Verona,1906,,,Italy,Veneto,Verona,43.3177948,11.3290896,4,False,1
"Italia, Salò, Ortsteilansicht",Haus am Ufer des Lago di Garda in Salò,1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0
"Italia, Verona, L'arca di Mastino II, Gesamtansicht",Ansicht des Monuments 'L'arca di Mastino II' in Verona,1906,,,Italy,Veneto,Verona,45.43854,10.9938,3,True,0
"Italia, San Martino della Battaglia, Landschaft",Ansicht eines Zypressenhains in San Martino della Battaglia,1906,,,Italy,Lombardia,San Martino della Battaglia,45.43832,10.60053,3,True,0
"Italia, Verona, Ortsteilansicht",Blick über die Dächer Veronas,1906,,,Italy,Veneto,Verona,45.43854,10.9938,3,True,0
"Italia, Lazise, Castello Scaligero, Teilaussenansicht","Blick auf die mittelalterliche Burg Castello Scaligero, auch Scaligerburg genannt",1906,,,Italy,Veneto,Lazise,45.49218,10.60821,5,False,0
"Italia, Sirmione, Chiesa di Sant'Anna della Rocca, Teilausse",Blick auf den Turm der Chiesa di Sant'Anna della Rocca,1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0
"Italia, Sirmione, Grotte di Catullo, Teilaussenansicht","Ansicht der Mauerreste der römischen Villa Grotte di Catullo, auch Grotten des Catull genannt",1906,,,Italy,Lombardia,Sirmione,45.5009128,10.6067079,4,False,1
"Italia, Sirmione, Chiesa di San Pietro in Mavino, Gesamtauss",Blick auf die Chiesa di San Pietro in Mavino,1906,,,Italy,Lombardia,Sirmione,45.498177,10.6049179,4,False,1
"Italia, Gardone Riviera, Grand Hotel, Gesamtaussenansicht",Blick auf das Grand Hotel in Gardone vom Lago di Garda aus,1906,,,Italy,Lombardia,Gardone Riviera,45.434,10.9896,5,False,0
"Italia, Maderno, Ortsteilansicht",Piazza San Marco in Maderno,1906,,,Italy,Trentino-Alto Adige,Maderno,45.63333,10.58333,3,True,0
"Italia, Malcesine, Ortsteilansicht",Blick von einer Anhöhe aus auf Malcesine und den Lago di Garda,1906,,,Italy,Veneto,Malcesine,45.7614,10.80863,3,True,0
"Italia, Sirmione, Castello scaligero, Teilaussenansicht","Castello scaligero in Sirmione, im Vordergrund mehrere Boote",1906,,,Italy,Lombardia,Sirmione,45.49218,10.60821,5,False,0
"Italia, Sirmione, Ortsteilansicht",Blick von einer Anhöhe aus auf einen Teil von Sirmione und den Lago di Garda,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0
"Italia, Salò, Landschaft",Wiese bei Salò mit Fischernetzen ausgelegt,1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0
"Italia, Nago-Torbole, Torbole, Kirche Sant'Andrea, Teilausse",Blick den Hang hinauf zur Kirche Sant'Andrea,1906,,,Italy,Trentino-Alto Adige,Torbole,50.4589974,30.517988,4,False,1
"Italia, Malcesine, Ortsteilansicht",Beladene Segelboote im Hafen von Malcesine,1906,,,Italy,Veneto,Malcesine,45.7614,10.80863,3,True,0
"Italia, Arco, Landschaft",Blick auf einen Olivenhain,1906,,,Italy,Trentino-Alto Adige,Arco,45.91772,10.88672,3,True,0
"Italia, Garda, Punta San Vigilio, Landschaft","Blick entlang einer Strasse, die von Zypressen gesäumt ist, die am Ufer des Gardasees entlang führt",1906,,,Italy,,Punta San Vigilio,45.5727085,10.6719114,4,False,1
"Italia, Isola di Garda, Villa Borghese, Gesamtaussenansicht",Villa Borghese auf der Isola di Garda,1906,,,Italy,,Isola di Garda,41.91349,12.49317,5,False,0
"Italia, Gargnano, Ortsteilansicht","Ufer von Gargnano, rechts ein Dampfschiff auf dem Lago di Garda",1906,,,Italy,Lombardia,Gargnano,45.68586,10.65869,3,True,0
