Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Titel.1,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km
"Santa Maria Val Müstair, Val Muraunza, Landschaft","Sta Maria Val Müstair GR. Berglandschaft im Gebiete der Umbrail und der Dreisprachenspitze; weitläufiges Alpgelände, durchzogen von den Windungen der Pass-Strasse",-29.7018851,-53.8191147,Nein,Sta. Maria V. M.,lcmt-nabi-pctmp_ead_zing_11170_pctmp.jpg,1920,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268014,"Santa Maria Val Müstair, Val Muraunza, Landschaft","Sta Maria Val Müstair GR. Berglandschaft im Gebiete der Umbrail und der Dreisprachenspitze; weitläufiges Alpgelände, durchzogen von den Windungen der Pass-Strasse",1920,Rudolf Zinggeler,,Switzerland,,Sta. Maria V. M.,46.5568144,10.4356766,4,False,1,10647.68
"Santa Maria Val Müstair, Val Muraunza, Landschaft",Sta Maria Val Müstair GR. Berglandschaft im Gebiete der Umbrail-Strasse: der oberste Teil des Val Muraunza. Blick von oben talabwärts,-29.7018851,-53.8191147,Nein,Sta. Maria V. M.,lcmt-nabi-pctmp_ead_zing_11171_pctmp.jpg,1920,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268044,"Santa Maria Val Müstair, Val Muraunza, Landschaft",Sta Maria Val Müstair GR. Berglandschaft im Gebiete der Umbrail-Strasse: der oberste Teil des Val Muraunza. Blick von oben talabwärts,1920,Rudolf Zinggeler,,Switzerland,,Sta. Maria V. M.,46.5568144,10.4356766,4,False,1,10647.68
"Santa Maria Val Müstair, Giogo di Santa Maria, Landschaft",Sta Maria Val Müstair GR. Gebirgslandschaft im Gebiete der Umbrailpasses. Weitläufiges Alpgelände mit der Pass-Strasse. Blick gegen die Dreisprachenspitze,-29.7018851,-53.8191147,Nein,Sta. Maria V. M.,lcmt-nabi-pctmp_ead_zing_11172_pctmp.jpg,1920,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268090,"Santa Maria Val Müstair, Giogo di Santa Maria, Landschaft",Sta Maria Val Müstair GR. Gebirgslandschaft im Gebiete der Umbrailpasses. Weitläufiges Alpgelände mit der Pass-Strasse. Blick gegen die Dreisprachenspitze,1920,Rudolf Zinggeler,,Switzerland,,Sta. Maria V. M.,46.5667,10.4167,5,False,0,10647.21
"Pontresina, Landschaft","Pontresina GR. Berglandschaft. Die Aussicht von Alp Grüm/Berninapass aus gegen Osten auf einen bukligen, bewaldeten Bergrücken und auf eine ferne Gebirgskette von Dreitausendern. Aufnahme 1890-1936.",46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11173_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268127,"Pontresina, Landschaft","Pontresina GR. Berglandschaft. Die Aussicht von Alp Grüm/Berninapass aus gegen Osten auf einen bukligen, bewaldeten Bergrücken und auf eine ferne Gebirgskette von Dreitausendern. Aufnahme 1890-1936.",1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.3746,10.0313,5,False,0,16.11
"Pontresina, Landschaft",Pontresina GR. Berglandschaft. Alp Grüm/Berninapass. Aussicht von der Alp Grüm gegen Südosten: die Bergkette zwischen dem Puschlav und dem Oberveltlin. Aufnahme 1890-1936.,46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11174_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268157,"Pontresina, Landschaft",Pontresina GR. Berglandschaft. Alp Grüm/Berninapass. Aussicht von der Alp Grüm gegen Südosten: die Bergkette zwischen dem Puschlav und dem Oberveltlin. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.3746,10.0313,5,False,0,16.11
"Poschiavo, Puschlav, Teilansicht",Poschiavo GR. Berglandschaft. Die Aussicht von Alp Grüm/Berninapass gegen Süden: auf die Mulde von Cavaglia und durch das Puschlavertal hinab,46.3263595,10.0581675,Nein,Poschiavo,lcmt-nabi-pctmp_ead_zing_11175_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268188,"Poschiavo, Puschlav, Teilansicht",Poschiavo GR. Berglandschaft. Die Aussicht von Alp Grüm/Berninapass gegen Süden: auf die Mulde von Cavaglia und durch das Puschlavertal hinab,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Poschiavo,46.3746,10.0313,5,False,0,5.75
"Poschiavo, Landschaft",Poschiavo GR. Landschaft des Puschlavertals. Blick von der Berninapass-Rampe aus gegen Süden,46.3263595,10.0581675,Nein,Poschiavo,lcmt-nabi-pctmp_ead_zing_11176_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268212,"Poschiavo, Landschaft",Poschiavo GR. Landschaft des Puschlavertals. Blick von der Berninapass-Rampe aus gegen Süden,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Poschiavo,46.32441,10.05823,3,True,0,0.22
"Poschiavo, Oratorio di Sant'Anna, Teilaussenansicht",Poschiavo GR. Oratorio di Sant'Anna. Der Eingang mit dem schmiedeisernen Gitter; Frontalansicht von aussen,46.3263595,10.0581675,Nein,Poschiavo,lcmt-nabi-pctmp_ead_zing_11177_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268245,"Poschiavo, Oratorio di Sant'Anna, Teilaussenansicht",Poschiavo GR. Oratorio di Sant'Anna. Der Eingang mit dem schmiedeisernen Gitter; Frontalansicht von aussen,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Poschiavo,46.32441,10.05823,3,True,0,0.22
"Porträt, Kind, Santa Maria Val Müstair","Sta Maria Val Müstair GR. Sommerzeit, Naturgenuss, Jugendlust. Zwei Knaben auf einem Baumstrunk an Halde auf Ausguck",-29.7018851,-53.8191147,Nein,Sta. Maria V. M.,lcmt-nabi-pctmp_ead_zing_11178_pctmp.jpg,1920,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268294,"Porträt, Kind, Santa Maria Val Müstair","Sta Maria Val Müstair GR. Sommerzeit, Naturgenuss, Jugendlust. Zwei Knaben auf einem Baumstrunk an Halde auf Ausguck",1920,Rudolf Zinggeler,,Switzerland,,Sta. Maria V. M.,,,0,False,0,
"La Punt-Chamues-ch, Haus Roedel/Pult, Teilaussenansicht",La Punt-Chamues-ch GR. Haus Rödel/Poult. Aussenansicht: westliche(?) Giebelfassade,46.5788766,9.9260141,Nein,La Punt-Chamues-ch,lcmt-nabi-pctmp_ead_zing_11179_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268436,"La Punt-Chamues-ch, Haus Roedel/Pult, Teilaussenansicht",La Punt-Chamues-ch GR. Haus Rödel/Poult. Aussenansicht: westliche(?) Giebelfassade,1890-1936,Rudolf Zinggeler,,Switzerland,,La Punt-Chamues-ch,46.5788766,9.9260141,2,True,1,0.0
"La Punt-Chamues-ch, Ortsteiansicht",[Karteikarte Ziggeler]: La Punt-Chamues-ch GR. Haus Rödel/Poult. Teil-Aussenansicht: Südseite mit Rundbogenportal,46.5788766,9.9260141,Nein,La Punt-Chamues-ch,lcmt-nabi-pctmp_ead_zing_11180_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268510,"La Punt-Chamues-ch, Ortsteilansicht",[Karteikarte Ziggeler]: La Punt-Chamues-ch GR. Haus Rödel/Poult. Teil-Aussenansicht: Südseite mit Rundbogenportal,1890-1936,Rudolf Zinggeler,,Switzerland,,La Punt-Chamues-ch,46.5788766,9.9260141,2,True,1,0.0
"La Punt-Chamues-ch, Haus Roedel/Pult, Gesamtaussenansicht","La Punt-Chamues-ch GR. Haus Rödel/Poult. Gesamt-Aussenansicht von Westen, mit dem lnn-Fluss",46.5788766,9.9260141,Nein,La Punt-Chamues-ch,lcmt-nabi-pctmp_ead_zing_11181_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268655,"La Punt-Chamues-ch, Haus Roedel/Pult, Gesamtaussenansicht","La Punt-Chamues-ch GR. Haus Rödel/Poult. Gesamt-Aussenansicht von Westen, mit dem lnn-Fluss",1890-1936,Rudolf Zinggeler,,Switzerland,,La Punt-Chamues-ch,46.5788766,9.9260141,2,True,1,0.0
"La Punt-Chamues-ch, Wohnhaus, Gesamtaussenansicht","La Punt-Chamues-ch GR. Dorfbild. Die Haupt (Kantons)strasse im Dorfzentrum. Stattliche, gemauerte Engadinerhäuser",46.5788766,9.9260141,Nein,La Punt-Chamues-ch,lcmt-nabi-pctmp_ead_zing_11182_pctmp.jpg,1926,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268699,"La Punt-Chamues-ch, Wohnhaus, Gesamtaussenansicht","La Punt-Chamues-ch GR. Dorfbild. Die Haupt (Kantons)strasse im Dorfzentrum. Stattliche, gemauerte Engadinerhäuser",1926,Rudolf Zinggeler,,Switzerland,,La Punt-Chamues-ch,46.5788766,9.9260141,2,True,1,0.0
"Zuoz, Ortsteilansicht",Zuoz GR. Dorfbild. Der Hauptplatz. Ansicht von unten nach oben. Rechts das untere Plantahaus. Aufnahme 1926.,46.6012885,9.9608039,Nein,Zuoz,lcmt-nabi-pctmp_ead_zing_11183_pctmp.jpg,1926,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268743,"Zuoz, Ortsteilansicht",Zuoz GR. Dorfbild. Der Hauptplatz. Ansicht von unten nach oben. Rechts das untere Plantahaus. Aufnahme 1926.,1926,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Zuoz,46.60206,9.95965,3,True,0,0.12
