Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Italia, Ulten, St. Gertraud, Ortsteilansicht","Abbildung eines Baumes, im Hintergrund Teilansicht einer Kirche bei St. Gertraud",46.4897587,10.8709079,Nein,St. Gertraud,lcmt-nabi-pctmp_ead_wehr_11045-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144592200,"Italia, Ulten, St. Gertraud, Ortsteilansicht","Abbildung eines Baumes, im Hintergrund Teilansicht einer Kirche bei St. Gertraud",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,St. Gertraud,46.86667,14.86667,3,True,0,307.67,https://www.openstreetmap.org/?mlat=46.86667&mlon=14.86667&zoom=14
"Italia, Ulten, St. Gertraud, Ortsteilansicht",Blick auf St. Gertraud,46.4897587,10.8709079,Nein,St. Gertraud,lcmt-nabi-pctmp_ead_wehr_11046-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144592338,"Italia, Ulten, St. Gertraud, Ortsteilansicht",Blick auf St. Gertraud,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,St. Gertraud,46.86667,14.86667,3,True,0,307.67,https://www.openstreetmap.org/?mlat=46.86667&mlon=14.86667&zoom=14
"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud im Suldental, im Hintergrund der Ortler",46.4897587,10.8709079,Nein,St. Gertraud,lcmt-nabi-pctmp_ead_wehr_11047-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144592484,"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud im Suldental, im Hintergrund der Ortler",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,St. Gertraud,46.86667,14.86667,3,True,0,307.67,https://www.openstreetmap.org/?mlat=46.86667&mlon=14.86667&zoom=14
"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud im Suldental, im Hintergrund der Ortler",46.4897587,10.8709079,Nein,St. Gertraud,lcmt-nabi-pctmp_ead_wehr_11048-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144592606,"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud im Suldental, im Hintergrund der Ortler",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,St. Gertraud,46.86667,14.86667,3,True,0,307.67,https://www.openstreetmap.org/?mlat=46.86667&mlon=14.86667&zoom=14
"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud im Suldental, im Hintergrund die Hintere Schöntaufspitze",46.4897587,10.8709079,Nein,St. Gertraud,lcmt-nabi-pctmp_ead_wehr_11049-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144592676,"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud im Suldental, im Hintergrund die Hintere Schöntaufspitze",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,St. Gertraud,46.86667,14.86667,3,True,0,307.67,https://www.openstreetmap.org/?mlat=46.86667&mlon=14.86667&zoom=14
"Tödi, Panorama",Blick vom Tödi gegen die Walliser Alpen,46.8111534,8.9148592,Nein,Tödi,lcmt-nabi-pctmp_ead_wehr_1105-B_pctmp.jpg,circa 1905,,helveticarchives.ch,Hans Brun,https://commons.wikimedia.org/entity/M143826678,"Tödi, Panorama",Blick vom Tödi gegen die Walliser Alpen,1905,Hans Brun,,Switzerland,Kanton Glarus,Tödi,46.81227,8.91508,5,False,0,0.13,https://www.openstreetmap.org/?mlat=46.81227&mlon=8.91508&zoom=14
"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud und das Dorf Sulden, im Hintergrund die Pederspitze und die Hintere Schöntaufspitze",46.4897587,10.8709079,Nein,St. Gertraud,lcmt-nabi-pctmp_ead_wehr_11051-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144592882,"Italia, Ulten, St. Gertraud, Ortsteilansicht","Blick auf St. Gertraud und das Dorf Sulden, im Hintergrund die Pederspitze und die Hintere Schöntaufspitze",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,St. Gertraud,46.86667,14.86667,3,True,0,307.67,https://www.openstreetmap.org/?mlat=46.86667&mlon=14.86667&zoom=14
"Italia, Ortler, Schaubachhütte, Panorama",Panorama von der Schaubachhütte in den Ortler Alpen,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11052-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593041,"Italia, Ortler, Schaubachhütte, Panorama",Panorama von der Schaubachhütte in den Ortler Alpen,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Ortler,46.4905225,10.5973335,4,False,1,4.51,https://www.openstreetmap.org/?mlat=46.4905225&mlon=10.5973335&zoom=14
"Italia, Ortler, Schaubachhütte, Panorama",Panorama von der Schaubachhütte in den Ortler Alpen,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11053-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593127,"Italia, Ortler, Schaubachhütte, Panorama",Panorama von der Schaubachhütte in den Ortler Alpen,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Ortler,46.4905225,10.5973335,4,False,1,4.51,https://www.openstreetmap.org/?mlat=46.4905225&mlon=10.5973335&zoom=14
"Italia, Ortler, Schaubachhütte, Panorama",Panorama von der Schaubachhütte in den Ortler Alpen,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11054-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593206,"Italia, Ortler, Schaubachhütte, Panorama",Panorama von der Schaubachhütte in den Ortler Alpen,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Ortler,46.4905225,10.5973335,4,False,1,4.51,https://www.openstreetmap.org/?mlat=46.4905225&mlon=10.5973335&zoom=14
"Italia, Ortler, Hallesche Hütte, Panorama",Blick auf die Hallesche Hütte (auch: Halle'sche Hütte) in den Ortler Alpen am Monte Cevedale,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11055-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593289,"Italia, Ortler, Hallesche Hütte, Panorama",Blick auf die Hallesche Hütte (auch: Halle'sche Hütte) in den Ortler Alpen am Monte Cevedale,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,2,True,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Hallesche Hütte, Panorama",Blick auf die Hallesche Hütte (auch: Halle'sche Hütte) in den Ortler Alpen am Eisseepass gegen die Suldenspitze,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11056-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593426,"Italia, Ortler, Hallesche Hütte, Panorama",Blick auf die Hallesche Hütte (auch: Halle'sche Hütte) in den Ortler Alpen am Eisseepass gegen die Suldenspitze,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,2,True,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Eisseepass, Panorama",Blick auf die Königsspitze in den Ortler-Alpen vom Eisseepass aus gesehen,46.4746773,10.6060673,Nein,Eisseepass,lcmt-nabi-pctmp_ead_wehr_11057-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593544,"Italia, Eisseepass, Panorama",Blick auf die Königsspitze in den Ortler-Alpen vom Eisseepass aus gesehen,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Eisseepass,46.4746773,10.6060673,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.4746773&mlon=10.6060673&zoom=14
"Italia, Passo Lago Gelato, Panorama","Königsspitze, Monte Zebrù und Ortler vom Eisseepass gesehen",,,Nein,"Italien, [Lokalisierung unsicher]",lcmt-nabi-pctmp_ead_wehr_11058-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593644,"Italia, Passo Lago Gelato, Panorama","Königsspitze, Monte Zebrù und Ortler vom Eisseepass gesehen",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,"Italien, [Lokalisierung unsicher]",,,0,False,0,,
"Italia, Passo Lago Gelato, Panorama","Blick auf die Königsspitze, vom Eisseepass gesehen",46.4746773,10.6060673,Nein,Passo Lago Gelato,lcmt-nabi-pctmp_ead_wehr_11059-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144593769,"Italia, Passo Lago Gelato, Panorama","Blick auf die Königsspitze, vom Eisseepass gesehen",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Passo Lago Gelato,46.4746773,10.6060673,2,True,1,0.0,https://www.openstreetmap.org/?mlat=46.4746773&mlon=10.6060673&zoom=14
"Tödi, Panorama",Blick vom Tödi auf die Walliser und Berner Alpen,46.8111534,8.9148592,Nein,Tödi,lcmt-nabi-pctmp_ead_wehr_1106-B_pctmp.jpg,circa 1905,,helveticarchives.ch,Hans Brun,https://commons.wikimedia.org/entity/M143826777,"Tödi, Panorama",Blick vom Tödi auf die Walliser und Berner Alpen,1905,Hans Brun,,Switzerland,Kanton Glarus,Tödi,46.81227,8.91508,5,False,0,0.13,https://www.openstreetmap.org/?mlat=46.81227&mlon=8.91508&zoom=14
"Italia, Ortler, Landschaft",Ansicht des Ortlers,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11061-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594015,"Italia, Ortler, Landschaft",Ansicht des Ortlers,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Düsseldorfer Hütte, Landschaft",Ansicht der Düsseldorfer Hütte (auch:Zaytalhütte) gegen die Königsspitze und den Ortler,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11062-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594173,"Italia, Ortler, Düsseldorfer Hütte, Landschaft",Ansicht der Düsseldorfer Hütte (auch:Zaytalhütte) gegen die Königsspitze und den Ortler,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,2,True,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Rifugio Serristori, Panorama","Blick von der Düsseldorferhütte auf Königsspitze, Monte Zebrù und Ortler",,,Nein,"Italien, [Lokalisierung unsicher]",lcmt-nabi-pctmp_ead_wehr_11063-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594330,"Italia, Rifugio Serristori, Panorama","Blick von der Düsseldorferhütte auf Königsspitze, Monte Zebrù und Ortler",1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,"Italien, [Lokalisierung unsicher]",,,0,False,0,,
"Italia, Königsspitze, Landschaft",Berglandschaft mit der Königsspitze,,,Nein,"Italien, [Lokalisierung unsicher]",lcmt-nabi-pctmp_ead_wehr_11064-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594453,"Italia, Königsspitze, Landschaft",Berglandschaft mit der Königsspitze,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,"Italien, [Lokalisierung unsicher]",,,0,False,0,,
"Italia, Königsspitze, Landschaft",Berglandschaft mit der Königsspitze,,,Nein,"Italien, [Lokalisierung unsicher]",lcmt-nabi-pctmp_ead_wehr_11065-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594569,"Italia, Königsspitze, Landschaft",Berglandschaft mit der Königsspitze,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,"Italien, [Lokalisierung unsicher]",,,0,False,0,,
"Italia, Königsspitze, Landschaft",Berglandschaft mit der Königsspitze,,,Nein,"Italien, [Lokalisierung unsicher]",lcmt-nabi-pctmp_ead_wehr_11066-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594740,"Italia, Königsspitze, Landschaft",Berglandschaft mit der Königsspitze,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,"Italien, [Lokalisierung unsicher]",,,0,False,0,,
"Italia, Ortler, Landschaft",Blick auf den Ortler vom Wege zur Düsseldorferhütte aus gesehen,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11067-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594841,"Italia, Ortler, Landschaft",Blick auf den Ortler vom Wege zur Düsseldorferhütte aus gesehen,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Tabarettahütte, Gesamtaussenansicht",Aussenansicht der Tabarettahütte am Ortler. Blick gegen die Vertain- und Schöntaufspitze,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11068-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144594931,"Italia, Ortler, Tabarettahütte, Gesamtaussenansicht",Aussenansicht der Tabarettahütte am Ortler. Blick gegen die Vertain- und Schöntaufspitze,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5300874,10.5507725,4,False,1,2.38,https://www.openstreetmap.org/?mlat=46.5300874&mlon=10.5507725&zoom=14
"Italia, Ortler, Julius-Payer-Hütte, Gesamtaussenansicht",Ansicht der Julius-Payer-Hütte und des Ortler,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11069-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144595031,"Italia, Ortler, Julius-Payer-Hütte, Gesamtaussenansicht",Ansicht der Julius-Payer-Hütte und des Ortler,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5277063,10.5434174,4,False,1,2.07,https://www.openstreetmap.org/?mlat=46.5277063&mlon=10.5434174&zoom=14
"Tödi, Panorama",Blick vom Tödi auf Linthal und Glärnisch,46.8111534,8.9148592,Nein,Tödi,lcmt-nabi-pctmp_ead_wehr_1107-B_pctmp.jpg,circa 1905,,helveticarchives.ch,Hans Brun,https://commons.wikimedia.org/entity/M143826847,"Tödi, Panorama",Blick vom Tödi auf Linthal und Glärnisch,1905,Hans Brun,,Switzerland,Kanton Glarus,Tödi,46.81227,8.91508,5,False,0,0.13,https://www.openstreetmap.org/?mlat=46.81227&mlon=8.91508&zoom=14
"Italia, Ortler, Landschaft",Blick auf den Ortler und den Ostabfall (auch: Ostafall) von der Tabarettahütte aus gesehen,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11071-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144595287,"Italia, Ortler, Landschaft",Blick auf den Ortler und den Ostabfall (auch: Ostafall) von der Tabarettahütte aus gesehen,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Landschaft",Blick auf den Ortler mit der Anstiegsroute und dem oberen Ortlerferner,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11072-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144595466,"Italia, Ortler, Landschaft",Blick auf den Ortler mit der Anstiegsroute und dem oberen Ortlerferner,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Landschaft",Blick auf den Ortler unter der Tabarettaspitze,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11073-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144595599,"Italia, Ortler, Landschaft",Blick auf den Ortler unter der Tabarettaspitze,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Landschaft",Bergsteiger bei der Ortlerbesteigung mit Blick auf den Gipfel und den Ostabsturz,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11074-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144595810,"Italia, Ortler, Landschaft",Bergsteiger bei der Ortlerbesteigung mit Blick auf den Gipfel und den Ostabsturz,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Landschaft",Winterlandschaft beim Ortler,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11075-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144595943,"Italia, Ortler, Landschaft",Winterlandschaft beim Ortler,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Panorama",Panorama vom Ortler. Blick gegen Königsspitze und Monte Cevedale,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11076-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596042,"Italia, Ortler, Landschaft",Panorama vom Ortler. Blick gegen Königsspitze und Monte Cevedale,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Landschaft, Bergsteigen",Bergsteiger (sieben Männer und eine Frau) auf dem Nordabfall des Oberen Gletschers bei der Besteigung des Ortlers,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11077-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596145,"Italia, Ortler, Panorama",Bergsteiger (sieben Männer und eine Frau) auf dem Nordabfall des Oberen Gletschers bei der Besteigung des Ortlers,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Landschaft, Bergsteigen",Fünf Bergsteiger steigen vom Ortler die Eiswand hinab.,46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11078-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596296,"Italia, Ortler, Landschaft, Bergsteigen",Fünf Bergsteiger steigen vom Ortler die Eiswand hinab.,1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Ortler, Schaubachhütte, Gesamtaussenansicht","Blick auf die Schaubachhütte in den Ortler-Alpen, im Hintergrund die Königsspitze",46.5090956,10.5449304,Nein,Ortler,lcmt-nabi-pctmp_ead_wehr_11079-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596412,"Italia, Ortler, Landschaft, Bergsteigen","Blick auf die Schaubachhütte in den Ortler-Alpen, im Hintergrund die Königsspitze",1909:08,Arthur Wehrli (1876-1915),,Italy,Trentino-Alto Adige,Ortler,46.5090956,10.5449304,4,False,1,0.0,https://www.openstreetmap.org/?mlat=46.5090956&mlon=10.5449304&zoom=14
"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen,46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_11080-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596503,"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.49067,11.33982,3,True,0,20.2,https://www.openstreetmap.org/?mlat=46.49067&mlon=11.33982&zoom=14
"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen von Virgl aus,46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_11081-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596618,"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen von Virgl aus,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.49115,11.35259,5,False,0,20.57,https://www.openstreetmap.org/?mlat=46.49115&mlon=11.35259&zoom=14
"Italia, Bolzano, Ortsgesamtansicht","Blick über Bozen, im Hintergrund die Rosengartengruppe",46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_11082-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596720,"Italia, Bolzano, Ortsgesamtansicht","Blick über Bozen, im Hintergrund die Rosengartengruppe",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.49067,11.33982,3,True,0,20.2,https://www.openstreetmap.org/?mlat=46.49067&mlon=11.33982&zoom=14
"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen von der Oswaldpromenade aus,46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_11083-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596810,"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen von der Oswaldpromenade aus,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.5049378,11.3613132,4,False,1,19.55,https://www.openstreetmap.org/?mlat=46.5049378&mlon=11.3613132&zoom=14
"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen,46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_11084-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144596910,"Italia, Bolzano, Ortsgesamtansicht",Blick über Bozen,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.49067,11.33982,3,True,0,20.2,https://www.openstreetmap.org/?mlat=46.49067&mlon=11.33982&zoom=14
"Italia, Bolzano, Ortsgesamtansicht","Blick über Bozen, im Hintergrund die Rosengartengruppe",46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_11085-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144597028,"Italia, Bolzano, Ortsgesamtansicht","Blick über Bozen, im Hintergrund die Rosengartengruppe",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.49067,11.33982,3,True,0,20.2,https://www.openstreetmap.org/?mlat=46.49067&mlon=11.33982&zoom=14
"Italia, Bolzano, Ortsteilansicht","Blick über das Gries-Quirein-Viertel von Bozen, im Hintergrund der Gantkogel",46.6559455,11.2302129,Nein,Bolzano,lcmt-nabi-pctmp_ead_wehr_11086-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144597219,"Italia, Bolzano, Ortsteilansicht","Blick über das Gries-Quirein-Viertel von Bozen, im Hintergrund der Gantkogel",1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bolzano,46.49067,11.33982,3,True,0,20.2,https://www.openstreetmap.org/?mlat=46.49067&mlon=11.33982&zoom=14
"Italia, Bolzano, Duomo di Santa Maria Assunta, Gesamtaussenansicht",Ansicht des Doms Maria Himmelfahrt in Bozen,46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_11087-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144597422,"Italia, Bolzano, Duomo di Santa Maria Assunta",Ansicht des Doms Maria Himmelfahrt in Bozen,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.4975276,11.3539721,4,False,1,19.99,https://www.openstreetmap.org/?mlat=46.4975276&mlon=11.3539721&zoom=14
"Italia, Renon, Castel Roncolo, Gesamtaussenansicht",Ansicht des Schloss Runkelstein,46.5629355,11.441435,Nein,Ritten,lcmt-nabi-pctmp_ead_wehr_11088-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144597595,"Italia, Renon, Castel Roncolo",Ansicht des Schloss Runkelstein,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Ritten,46.51754,11.35888,5,False,0,8.08,https://www.openstreetmap.org/?mlat=46.51754&mlon=11.35888&zoom=14
"Italia, Renon, Castel Roncolo, Gesamtaussenansicht",Ansicht des Schloss Runkelstein,46.5629355,11.441435,Nein,Ritten,lcmt-nabi-pctmp_ead_wehr_11089-B_pctmp.jpg,1909-08,,helveticarchives.ch,Arthur Wehrli (1876-1915),https://commons.wikimedia.org/entity/M144597788,"Italia, Renon, Castel Roncolo",Ansicht des Schloss Runkelstein,1909,Arthur Wehrli,,Italy,Trentino-Alto Adige,Ritten,46.51754,11.35888,5,False,0,8.08,https://www.openstreetmap.org/?mlat=46.51754&mlon=11.35888&zoom=14
